artichokes	artichokes	1.99
asparagus	asparagus	1.99
beet	beet	0.79
beetroot	beetroot	0.99
bell pepper	bell pepper	0.99
broccoli	broccoli	1.69
Brussels sprouts	Brussels sprouts	1.49
cabbage	cabbage	1.19
carrots	carrots	2.69
cauliflower	cauliflower	2.39
celery	celery	1.89
corn	corn	0.99
cucumber	cucumber	0.89
eggplant	eggplant	1.29
green beans	green beans	1.79
green onion	green onion	0.89
leeks	leeks	1.99
lettuce	lettuce	1.69
mushrooms	mushrooms	2.19
onion	onion	0.89
peas	peas	1.99
pepper	pepper	0.79
potato	potato	0.69
pumpkin	pumpkin	8.99
radish	radish	1.39
spring onion	spring onion	0.79
squash	squash	1.89
sweet potato	sweet potato	1.29
tomato	tomato	0.79
zucchini	zucchini	0.99
